type,total_price,carat,price_per_carat,color,shape,length,width,height,clarity,cut,color_intensity,origin,treatment,cut_quality
Blue Sapphire,100,0.5,200,Blue,Oval,5.77,4.53,2.23,Very Slightly Included,Mixed Brilliant,Very Light,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,100,0.2,500,Purplish Pink,Round,3.67,3.68,1.97,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,100,0.25,400,Pinkish Purple,Round,3.39,3.34,2.79,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,100,0.25,400,Pink,Oval,4.21,3.23,2.35,Very Slightly Included,Mixed Brilliant,Light,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,100,0.25,400,Pink,Oval,3.99,3.19,2.15,Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,100,0.5,200,Pink,Oval,5.34,4.51,2.75,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,100,0.4,250,Purplish Pink,Round,4.23,4.21,2.74,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,100,0.5,200,Pink,Oval,5.34,4.51,2.75,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Purple Sapphire,100,0.25,400,Purple,Oval,4.2,3.1,2.24,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,100,0.25,400,Purple,Oval,4.08,3.24,2.18,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,100,0.5,200,Orangish Yellow,Oval,6.01,4.01,2.73,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,100,0.5,200,Orangish Yellow,Oval,6.12,4.06,2.73,Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,100,0.21,476,Yellow,Pear,6.14,3.97,2.62,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Green Sapphire,101,0.39,259,Green,Round,4.4,4.25,2.75,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,101,0.72,140,Pinkish Purple,Round,5.3,5.4,3.19,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,101,0.46,220,Orangish Yellow,Round,4.6,4.48,3.1,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,101,0.46,220,Orangish Yellow,Round,4.68,4.58,3.05,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,102,0.29,352,Blue,Round,4.12,4.24,2.2,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,102,0.51,200,Blue,Pear,5.96,4.47,2.71,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Poor
Blue Sapphire,102,0.64,159,Blue,Round,4.94,4.94,3.12,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,102,0.34,300,Pink,Emerald Cut,5.03,2.94,2.28,Slightly Included,Emerald Cut,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,102,0.51,200,Orangish Yellow,Oval,6.11,4.07,2.56,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,103,0.41,251,Blue,Oval,5.16,4.03,2.57,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Purple Sapphire,103,0.41,251,Purple,Emerald Cut,5.28,3.62,2.39,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Poor
Yellow Sapphire,103,0.47,219,Orangish Yellow,Round,4.61,4.57,3.12,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,103,0.41,251,Orangish Yellow,Trillion,4.66,4.7,2.92,Very Slightly Included,Trillion Cut,Intense,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,104,0.26,400,Pink,Emerald Cut,4.55,2.83,1.97,Very Slightly Included,Emerald Cut,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,104,0.26,400,Purple,Round,3.81,3.79,2.11,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,104,0.26,400,Purple,Round,3.68,3.65,2.17,Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,104,0.26,400,Violet,Oval,4.26,3.45,2.21,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,104,0.26,400,Purple,Oval,4.69,3.53,1.83,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,104,0.26,400,Purple,Emerald Cut,4.27,2.79,2.26,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Purple Sapphire,104,0.52,200,Purple,Cushion,4.31,4.29,3.35,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,104,0.52,200,Yellow,Oval,6.11,4.25,2.86,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,105,0.42,250,Blue,Trillion,4.73,4.58,2.96,Very Slightly Included,Trillion Cut,Intense,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,105,0.21,500,Purplish Pink,Fancy,4.02,3.59,1.96,Very Slightly Included,Mixed Brilliant,Light,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,105,0.35,300,Purplish Pink,Cushion,4.1,3.34,2.74,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,105,0.42,250,Orangish Yellow,Round,4.56,4.58,2.87,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Excellent
Yellow Sapphire,105,0.62,169,Yellow,Oval,6.09,4.07,3.31,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,106,0.48,221,Blue,Trillion,4.91,5.15,3.11,Very Slightly Included,Trillion Cut,Medium Light,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,106,0.53,200,Pink,Oval,5.3,4.48,2.81,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Purple Sapphire,106,0.53,200,Purple,Oval,5.78,4.08,2.97,Eye Clean,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Poor
Purple Sapphire,106,0.53,200,Purple,Cushion,6.02,4.45,2.1,Very Slightly Included,Mixed Brilliant,Light,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,106,0.44,241,Orangish Yellow,Round,4.61,4.6,2.85,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Yellow Sapphire,106,0.48,221,Yellowish Orange,Oval,6.14,3.95,2.62,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,106,0.53,200,Yellow,Oval,6.04,4,2.94,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,106,0.53,200,Yellow,Oval,6.15,4.22,2.75,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,107,0.67,160,Blue,Round,4.84,4.85,3.59,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,107,0.67,160,Blue,Round,4.98,4.96,3.57,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,108,0.54,200,Blue,Cushion,5.01,4.62,2.47,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,108,0.27,400,Bluish Purple,Oval,4.43,3.28,2.22,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,108,0.4,270,Blue,Trillion,4.72,4.56,2.86,Very Slightly Included,Trillion Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,108,0.4,270,Blue,Trillion,4.53,4.57,2.91,Slightly Included,Trillion Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Green Sapphire,108,0.45,240,Green,Asscher - Octagon,4.15,4.08,3,Very Slightly Included,Asscher,Intense,Ceylon (Sri Lanka),No Enhancement,Excellent
Pink Sapphire,108,0.54,200,Pink,Round,5.16,5.12,2.79,Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,108,0.54,200,Pinkish Purple,Trillion,5.16,5.04,2.91,Slightly Included,Trillion Cut,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,108,0.45,240,Purplish Pink,Pear,6.07,4.49,2.37,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
